Magreglio comune,Magreglio comune.1
,
"Magreglio – VedutaSantuario e Museo del Ghisallo, con vista su ramo di Lecco e Grigne","Magreglio – VedutaSantuario e Museo del Ghisallo, con vista su ramo di Lecco e Grigne"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Danilo Bianchi (lista civica Insieme per Magreglio) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°55′06.27″N 9°14′42.05″E
Altitudine,750 m s.l.m.
Superficie,"3,08 km²"
Abitanti,674[1] (30-11-2025)
Densità,"218,83 ab./km²"
Comuni confinanti,"Barni, Bellagio, Oliveto Lario (LC), Sormano"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013139
Cod. catastale,E830
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 126 GG[3]"
Nome abitanti,magregliesi
Patrono,Santa Marta
Giorno festivo,29 luglio
Cartografia,Cartografia
Magreglio,Magreglio
Magreglio – MappaPosizione del comune di Magreglio nella provincia di Como,Magreglio – MappaPosizione del comune di Magreglio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
