Cernobbio comune,Cernobbio comune.1
,
Cernobbio – Veduta,Cernobbio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Matteo Monti (lista civica Cernobbio in testa) dall'11-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,45°50′17″N 9°04′33″E
Altitudine,202 m s.l.m.
Superficie,"12,28 km²"
Abitanti,6 153[1] (30-11-2025)
Densità,"501,06 ab./km²"
Frazioni,"Piazza Santo Stefano, Rovenna, Casnedo,Stimianico,"
Comuni confinanti,"Blevio, Breggia (CH-TI), Como, Maslianico, Moltrasio, Vacallo (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,22012
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013065
Cod. catastale,C520
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 228 GG[3]"
Nome abitanti,cernobbiesi
Patrono,san Vincenzo martire
Giorno festivo,22 gennaio
Cartografia,Cartografia
Cernobbio,Cernobbio
Cernobbio – MappaPosizione del comune di Cernobbio nella provincia di Como,Cernobbio – MappaPosizione del comune di Cernobbio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
