Proserpio comune,Proserpio comune.1
,
Proserpio – VedutaIl centro di Proserpio durante un temporale,Proserpio – VedutaIl centro di Proserpio durante un temporale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Barbara Zuccon (lista civica È il paese che vogliamo) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°49′50.03″N 9°15′10.5″E
Altitudine,450 m s.l.m.
Superficie,"2,3 km²"
Abitanti,951[1] (30-11-2025)
Densità,"413,48 ab./km²"
Frazioni,Inarca (In Arca)
Comuni confinanti,"Canzo, Castelmarte, Erba, Longone al Segrino"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013192
Cod. catastale,H074
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 870 GG[3]"
Nome abitanti,proserpini
Cartografia,Cartografia
Proserpio,Proserpio
Proserpio – MappaPosizione del comune di Proserpio nella provincia di Como,Proserpio – MappaPosizione del comune di Proserpio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
