Dongo comune,Dongo comune.1
,
Dongo – VedutaVista di Dongo. Sullo sfondo in alto a destra si vede il primo tratto della Valtellina.,Dongo – VedutaVista di Dongo. Sullo sfondo in alto a destra si vede il primo tratto della Valtellina.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Mauro Robba (Uniti per Dongo) dal 9-6-2024
Territorio,Territorio
Coordinate,46°07′47.96″N 9°16′54.08″E
Altitudine,208 m s.l.m.
Superficie,"7,04 km²"
Abitanti,3 154[1] (30-11-2025)
Densità,"448,01 ab./km²"
Frazioni,"Barbignano, Mossanzonico, Villaggio Falk, Martinico, Campiedi, Ponaga, Pomaro, Mellia, Bersaglio, Vigero, San Gottardo, Sciàtera"
Comuni confinanti,"Garzeno, Gravedona ed Uniti, Musso, Pianello del Lario, Stazzona"
Altre informazioni,Altre informazioni
Cod. postale,22014
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013090
Cod. catastale,D341
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 229 GG[3]"
Nome abitanti,donghesi
Patrono,santo Stefano / san Gottardo
Giorno festivo,26 dicembre / 4 maggio
Cartografia,Cartografia
Dongo,Dongo
Dongo – MappaPosizione del comune di Dongo all'interno della provincia di Como,Dongo – MappaPosizione del comune di Dongo all'interno della provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
