Castelnuovo Bozzente comune,Castelnuovo Bozzente comune.1
,
Castelnuovo Bozzente – Veduta,Castelnuovo Bozzente – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Massimo Della Rosa (lista civica Anche io Castelnuovo) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°46′N 8°57′E
Altitudine,398 m s.l.m.
Superficie,"3,62 km²"
Abitanti,917[1] (30-11-2025)
Densità,"253,31 ab./km²"
Comuni confinanti,"Appiano Gentile, Beregazzo con Figliaro, Binago, Tradate (VA), Venegono Inferiore (VA)"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013059
Cod. catastale,C220
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,castelnuovesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Castelnuovo Bozzente,Castelnuovo Bozzente
Castelnuovo Bozzente – MappaPosizione del comune di Castelnuovo Bozzente nella provincia di Como,Castelnuovo Bozzente – MappaPosizione del comune di Castelnuovo Bozzente nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
