Barni comune,Barni comune.1
,
Barni – Veduta,Barni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Daniela Gerosa (lista civica arcobaleno per Barni) dal 13-06-2022
Territorio,Territorio
Coordinate,45°55′N 9°16′E
Altitudine,635 m s.l.m.
Superficie,"5,72 km²"
Abitanti,610[1] (30-11-2025)
Densità,"106,64 ab./km²"
Frazioni,Crezzo
Comuni confinanti,"Lasnigo, Magreglio, Oliveto Lario (LC), Sormano"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013015
Cod. catastale,A670
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 960 GG[3]"
Nome abitanti,barnesi o barniesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Barni,Barni
Barni – MappaPosizione del comune di Barni nella provincia di Como,Barni – MappaPosizione del comune di Barni nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
