Lurago Marinone comune,Lurago Marinone comune.1
,
Lurago Marinone – Veduta,Lurago Marinone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Luigi Berlusconi (lista civica Lurago - La tua alternativa) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°42′N 8°59′E
Altitudine,294 m s.l.m.
Superficie,"3,89 km²"
Abitanti,2 601[1] (30-11-2025)
Densità,"668,64 ab./km²"
Comuni confinanti,"Appiano Gentile, Carbonate, Fenegrò, Limido Comasco, Mozzate, Veniano"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013137
Cod. catastale,E750
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 547 GG[3]"
Nome abitanti,luraghesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Lurago Marinone,Lurago Marinone
Lurago Marinone – MappaLocalizzazione del comune nel territorio della Provincia di Como,Lurago Marinone – MappaLocalizzazione del comune nel territorio della Provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
