Cusino comune,Cusino comune.1
,
Cusino – Veduta,Cusino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Francesco Curti (lista civica)
Territorio,Territorio
Coordinate,46°04′N 9°09′E
Altitudine,800 m s.l.m.
Superficie,"9,65 km²"
Abitanti,251[1] (30-11-2025)
Densità,"26,01 ab./km²"
Frazioni,"Palla, Campanile, Bertogno, Pomè"
Comuni confinanti,"Carlazzo, Garzeno, Grandola ed Uniti, San Bartolomeo Val Cavargna"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013085
Cod. catastale,D232
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 206 GG[3]"
Nome abitanti,cusinesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Cusino,Cusino
Cusino – MappaPosizione del comune di Cusino nella provincia di Como,Cusino – MappaPosizione del comune di Cusino nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
