Cucciago comune,Cucciago comune.1
,
Cucciago – VedutaVista su Cucciago da Brunate,Cucciago – VedutaVista su Cucciago da Brunate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Enrico Molteni (lista civica Alleanza popolare Cucciago) dal 9-6-2024
Territorio,Territorio
Coordinate,45°44′N 9°06′E
Altitudine,349 m s.l.m.
Superficie,"4,93 km²"
Abitanti,3 382[1] (30-11-2025)
Densità,686 ab./km²
Comuni confinanti,"Cantù, Casnate con Bernate, Fino Mornasco, Senna Comasco, Vertemate con Minoprio"
Altre informazioni,Altre informazioni
Cod. postale,22060
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013084
Cod. catastale,D196
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 565 GG[3]"
Nome abitanti,cucciaghesi
Patrono,Madonna della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Cucciago,Cucciago
Cucciago – MappaPosizione del comune di Cucciago nella provincia di Como,Cucciago – MappaPosizione del comune di Cucciago nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
