Pognana Lario comune,Pognana Lario comune.1
,
Pognana Lario – Veduta,Pognana Lario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Federico Cola (lista civica La colomba) dal 9-6-2024
Territorio,Territorio
Coordinate,45°53′N 9°09′E
Altitudine,307 m s.l.m.
Superficie,"5,07 km²"
Abitanti,659[1] (30-11-2025)
Densità,"129,98 ab./km²"
Comuni confinanti,"Faggeto Lario, Laglio, Nesso"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013186
Cod. catastale,G773
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 506 GG[3]"
Nome abitanti,pognanesi
Cartografia,Cartografia
Pognana Lario,Pognana Lario
Pognana Lario – MappaPosizione del comune di Pognana Lario nella provincia di Como,Pognana Lario – MappaPosizione del comune di Pognana Lario nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
