Turate comune,Turate comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Alberto Oleari (lista civica TUcomeTurate) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,45°39′30″N 9°00′00″E
Altitudine,240 m s.l.m.
Superficie,"10,28 km²"
Abitanti,9 925[1] (30-11-2025)
Densità,"965,47 ab./km²"
Frazioni,"Fagnana, Mascazza, Piatti, Santa Maria in Campagna"
Comuni confinanti,"Cirimido, Cislago (VA), Fenegrò, Gerenzano (VA), Limido Comasco, Lomazzo, Rovello Porro"
Altre informazioni,Altre informazioni
Cod. postale,22078
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,013227
Cod. catastale,L470
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,turatesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Turate,Turate
Turate – MappaPosizione del comune di Turate nella provincia di Como,Turate – MappaPosizione del comune di Turate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
