Montano Lucino comune,Montano Lucino comune.1
,
Montano Lucino – VedutaIl centro di Lucino visto da Brunate,Montano Lucino – VedutaIl centro di Lucino visto da Brunate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Silvio Aiello (lista civica Insieme per Montano Lucino) dal 9-6-2024
Territorio,Territorio
Coordinate,45°47′N 9°03′E
Altitudine,400 m s.l.m.
Superficie,"5,22 km²"
Abitanti,5 480[1] (30-11-2025)
Densità,"1 049,81 ab./km²"
Frazioni,"Arcissa, Casarico, Cantalupo, Cima, Crignola, Dosso, Grisonno, La Cà, Lovesana, Lucinasco, Lucino al basso, Mezzomanico, Lucino al Monte, Montano, Trivino, Vitello"
Comuni confinanti,"Como, Colverde, Grandate, San Fermo della Battaglia, Villa Guardia"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013154
Cod. catastale,F427
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 540 GG[3]"
Nome abitanti,lucinesi (nella frazione di Lucino)
Patrono,"san Giorgio (Lucino), sant'Andrea (Montano)"
Giorno festivo,"23 aprile (san Giorgio), 30 novembre (sant'Andrea)"
Cartografia,Cartografia
Montano Lucino,Montano Lucino
Montano Lucino – MappaLocalizzazione del comune di Montano Lucino nella provincia di Como,Montano Lucino – MappaLocalizzazione del comune di Montano Lucino nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
