Cremia comune,Cremia comune.1
,
Cremia – VedutaGiochi di luce a Cremia,Cremia – VedutaGiochi di luce a Cremia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Guido Dell'Era (lista civica Tutti insieme per Cremia) dal 9-6-2024
Territorio,Territorio
Coordinate,46°05′13.56″N 9°16′17.4″E
Altitudine,323 m s.l.m.
Superficie,"10,14 km²"
Abitanti,681[1] (30-11-2025)
Densità,"67,16 ab./km²"
Frazioni,"Cadreglio, Cantone, Cheis, Colceno, Ghiano, Marnino, Motto, Prato, Pusgnano, Raviscedo, Samaino, San Vito, Semurano, Somano, Vezzedo, Vignola"
Comuni confinanti,"Dervio (LC), Garzeno, Pianello del Lario, Plesio, San Siro"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013083
Cod. catastale,D147
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 528 GG[3]"
Nome abitanti,cremiesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Cremia,Cremia
Cremia – MappaPosizione del comune di Cremia nella provincia di Como,Cremia – MappaPosizione del comune di Cremia nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
