Olgiate Comasco comune,Olgiate Comasco comune.1
,
"Olgiate Comasco – VedutaLa parrocchiale dei SS. Ippolito a Cassiano  (a sinistra), la chiesa di San Gerardo (al centro) e Villa Camilla (a destra)","Olgiate Comasco – VedutaLa parrocchiale dei SS. Ippolito a Cassiano  (a sinistra), la chiesa di San Gerardo (al centro) e Villa Camilla (a destra)"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Simone Moretti (lista civica di centro-sinistra[1]) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°47′N 8°58′E
Altitudine,400 m s.l.m.
Superficie,"10,96 km²"
Abitanti,12 190[2] (30-11-2025)
Densità,"1 112,23 ab./km²"
Frazioni,"Baragiola, Bontocco, Boscone, Cantalupo, Cascina del Pè, Casletto, Gerbo, Rongio, Somaino"
Comuni confinanti,"Albiolo, Beregazzo con Figliaro, Colverde, Faloppio, Lurate Caccivio, Oltrona di San Mamette, Solbiate con Cagno"
Altre informazioni,Altre informazioni
Cod. postale,22077
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013165
Cod. catastale,G025
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 719 GG[4]"
Nome abitanti,olgiatesi
Patrono,santi Ippolito e Cassiano
Giorno festivo,13 agosto
Cartografia,Cartografia
Olgiate Comasco,Olgiate Comasco
Olgiate Comasco – MappaPosizione del comune di Olgiate Comasco nella provincia di Como,Olgiate Comasco – MappaPosizione del comune di Olgiate Comasco nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
