Novedrate comune,Novedrate comune.1
,
Novedrate – VedutaChiesa di SS. Donato e Carpoforo,Novedrate – VedutaChiesa di SS. Donato e Carpoforo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Serafino Grassi (lista civica Grassi per Novedrate) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°42′00.66″N 9°08′00.53″E
Altitudine,277 m s.l.m.
Superficie,"2,92 km²"
Abitanti,2 866[1] (30-11-2025)
Densità,"981,51 ab./km²"
Frazioni,Villaggio San Giuseppe
Comuni confinanti,"Carimate, Figino Serenza, Lentate sul Seveso (MB), Mariano Comense"
Altre informazioni,Altre informazioni
Cod. postale,22060
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013163
Cod. catastale,F958
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 463 GG[3]"
Nome abitanti,novedratesi
Patrono,santi Donato e Carpoforo
Giorno festivo,primo fine settimana di settembre
Soprannome,Nuedraa
Cartografia,Cartografia
Novedrate,Novedrate
Novedrate – MappaPosizione del comune di Novedrate nella provincia di Como,Novedrate – MappaPosizione del comune di Novedrate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
