Laglio comune,Laglio comune.1
,
Laglio – Veduta,Laglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giancarlo Premoli (lista civica) dal 14-5-2023
Territorio,Territorio
Coordinate,45°53′N 9°08′E
Altitudine,199 m s.l.m.
Superficie,"6,2 km²"
Abitanti,816[1] (30-11-2025)
Densità,"131,61 ab./km²"
Frazioni,"Germanello, Ossana, Soldino, Ticée, e Torriggia."
Comuni confinanti,"Brienno, Carate Urio, Faggeto Lario, Nesso, Pognana Lario"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013119
Cod. catastale,E405
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 230 GG[3]"
Nome abitanti,lagliesi
Patrono,San Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Laglio,Laglio
Laglio – MappaPosizione del comune di Laglio nella provincia di Como,Laglio – MappaPosizione del comune di Laglio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
