Griante comune,Griante comune.1
,
Griante – VedutaVista su Griante dal Lago di Como,Griante – VedutaVista su Griante dal Lago di Como
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Pietro Ortelli (lista civica Uniti per Griante) dal 3-10-2021
Territorio,Territorio
Coordinate,46°00′N 9°14′E
Altitudine,274 m s.l.m.
Superficie,"6,55 km²"
Abitanti,556[1] (30-11-2025)
Densità,"84,89 ab./km²"
Frazioni,Cadenabbia
Comuni confinanti,"Bellagio, Menaggio, Tremezzina, Varenna (LC)"
Altre informazioni,Altre informazioni
Cod. postale,22011
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013113
Cod. catastale,E172
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 284 GG[3]"
Nome abitanti,griantesi
Patrono,santi Nabore e Felice
Cartografia,Cartografia
Griante,Griante
Griante – MappaPosizione del comune di Griante nella provincia di Como,Griante – MappaPosizione del comune di Griante nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
