Solbiate con Cagno comune,Solbiate con Cagno comune.1
,
Solbiate con Cagno – VedutaFacciata della chiesa di Sant'Alessandro,Solbiate con Cagno – VedutaFacciata della chiesa di Sant'Alessandro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Capoluogo,Solbiate
Sindaco,Federico Broggi (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate del capoluogo,45°47′N 8°56′E
Superficie,"7,62 km²"
Abitanti,4 647[1] (30-11-2025)
Densità,"609,84 ab./km²"
Frazioni,"Cagno, Concagno, Solbiate (sede comunale)"
Comuni confinanti,"Albiolo, Beregazzo con Figliaro, Binago, Cantello (VA), Malnate (VA), Olgiate Comasco, Rodero, Valmorea"
Altre informazioni,Altre informazioni
Cod. postale,22043
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013255
Cod. catastale,M412
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 705 GG[3]"
Nome abitanti,"solbiatesi, concagnesi,cagnesi"
Cartografia,Cartografia
Solbiate,Solbiate
Solbiate con Cagno – MappaMappa del comune di Solbiate con Cagno nella provincia di Como,Solbiate con Cagno – MappaMappa del comune di Solbiate con Cagno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
