Colverde comune,Colverde comune.1
,
Colverde – VedutaLocalità Gironico al Piano,Colverde – VedutaLocalità Gironico al Piano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Marina Pellin (lista civica Uniti per Colverde) dal 9-6-2024
Data di istituzione,4 febbraio 2014
Territorio,Territorio
Coordinate,45°48′42.48″N 9°00′35.28″E
Altitudine,412 m s.l.m.
Superficie,"8,58[1] km²"
Abitanti,5 538[2] (30-11-2025)
Densità,"645,45 ab./km²"
Frazioni,"Drezzo, Gironico, Parè (capoluogo e sede comunale)[3]"
Comuni confinanti,"San Fermo della Battaglia, Chiasso (CH-TI), Faloppio, Lurate Caccivio, Montano Lucino, Olgiate Comasco, Uggiate con Ronago, Villa Guardia"
Altre informazioni,Altre informazioni
Cod. postale,"22041 (Gironico) 22020 (Drezzo, Parè)"
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013251
Cod. catastale,M336
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Nome abitanti,colverdesi
Cartografia,Cartografia
Colverde,Colverde
Colverde – MappaLocalizzazione del comune di Colverde nella provincia di Como,Colverde – MappaLocalizzazione del comune di Colverde nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
