Peglio comune,Peglio comune.1
,
Peglio – Veduta,Peglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Dante Manzi (lista civica Remis non velis) dal 26-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,1948
Territorio,Territorio
Coordinate,46°10′46.67″N 9°16′38.51″E
Altitudine,650 m s.l.m.
Superficie,"10,57 km²"
Abitanti,194[1] (30-11-2025)
Densità,"18,35 ab./km²"
Frazioni,Argesio
Comuni confinanti,"Domaso, Dosso del Liro, Gravedona ed Uniti, Livo"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013178
Cod. catastale,G415
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 993 GG[3]"
Nome abitanti,pegliesi
Patrono,santi Eusebio e Vittore
Giorno festivo,1º agosto
Cartografia,Cartografia
Peglio,Peglio
Peglio – MappaPosizione del comune di Peglio nella provincia di Como,Peglio – MappaPosizione del comune di Peglio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
