Livo comune,Livo comune.1
Livo – VedutaVeduta sull'abitato dai monti di Livo,Livo – VedutaVeduta sull'abitato dai monti di Livo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Daniele Pozzi (lista civica Livo) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°10′N 9°18′E
Altitudine,675 m s.l.m.
Superficie,"33,13 km²"
Abitanti,158[1] (30-11-2025)
Densità,"4,77 ab./km²"
Comuni confinanti,"Cama (CH-GR), Domaso, Dosso del Liro, Gordona (SO), Peglio, Samolaco (SO), Vercana"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013130
Cod. catastale,E623
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 028 GG[3]"
Nome abitanti,livesi
Patrono,san Giacomo
Giorno festivo,ultimo sabato di luglio
Cartografia,Cartografia
Livo,Livo
Livo – MappaPosizione del comune di Livo nella provincia di Como,Livo – MappaPosizione del comune di Livo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
