Lurago d'Erba comune,Lurago d'Erba comune.1
,
Lurago d'Erba – VedutaChiesa di San Giovanni Evangelista.,Lurago d'Erba – VedutaChiesa di San Giovanni Evangelista.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Davide Colombo (lista civica Progetto Lurago) dal 15-5-2023
Territorio,Territorio
Coordinate,45°45′N 9°13′E
Altitudine,351 m s.l.m.
Superficie,"4,7 km²"
Abitanti,5 592[1] (30-11-2025)
Densità,"1 189,79 ab./km²"
Frazioni,"Calpuno, Careggia, Colciago, Piazza."
Comuni confinanti,"Alzate Brianza, Anzano del Parco, Inverigo, Lambrugo, Merone, Monguzzo"
Altre informazioni,Altre informazioni
Cod. postale,22040
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013136
Cod. catastale,E749
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 568 GG[3]"
Nome abitanti,luraghesi
Patrono,san Giovanni Evangelista e san Rocco
Cartografia,Cartografia
Lurago d'Erba,Lurago d'Erba
Lurago d'Erba – MappaPosizione del comune di Lurago d'Erba nella provincia di Como,Lurago d'Erba – MappaPosizione del comune di Lurago d'Erba nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
