Provincia di Como provincia,Provincia di Como provincia.1
,
"Provincia di Como – VedutaVilla Saporiti, sede della Provincia","Provincia di Como – VedutaVilla Saporiti, sede della Provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Como
Presidente,Fiorenzo Bongiasca (indipendente di centro-sinistra) dal 31-10-2018
Data di istituzione,1786
Territorio,Territorio
Coordinate del capoluogo,45°49′N 9°05′E
Superficie,"1 279,04 km²"
Abitanti,598 671[1] (31-10-2025)
Densità,"468,06 ab./km²"
Comuni,147 comuni
Province confinanti,"Ticino (Svizzera), Grigioni (Svizzera), Sondrio, Lecco, Monza e Brianza, Varese"
Altre informazioni,Altre informazioni
Cod. postale,22100
Prefisso,"031, 0344, 02, 0331, 004191 (solo dall'Italia per Campione d'Italia)"
Fuso orario,UTC+1
ISO 3166-2,IT-CO
Codice ISTAT,013
Targa,CO
Cartografia,Cartografia
Provincia di Como – Localizzazione,Provincia di Como – Localizzazione
Provincia di Como – MappaPosizione della provincia di Como all'interno della Lombardia.,Provincia di Como – MappaPosizione della provincia di Como all'interno della Lombardia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
