Cavargna comune,Cavargna comune.1
,
Cavargna – Veduta,Cavargna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Ermanno Rumi (lista civica Viviamo Cavargna) dal 3-10-2021
Territorio,Territorio
Coordinate,46°05′N 9°07′E
Altitudine,1 071 m s.l.m.
Superficie,"14,98 km²"
Abitanti,173[1] (30-11-2025)
Densità,"11,55 ab./km²"
Frazioni,"Segalè, Mondrago, Vegna, Dosso-Finsuè, San Lucio"
Comuni confinanti,"Bellinzona (CH-TI), Lugano (CH-TI), Ponte Capriasca (CH-TI), San Nazzaro Val Cavargna, Val Rezzo"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013062
Cod. catastale,C381
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 590 GG[3]"
Nome abitanti,cavargnoni
Patrono,san Lorenzo
Giorno festivo,10 agosto
PIL procapite,(nominale) 6500€
Cartografia,Cartografia
Cavargna,Cavargna
Cavargna – MappaPosizione del comune di Cavargna nella provincia di Como,Cavargna – MappaPosizione del comune di Cavargna nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
