Grandola ed Uniti comune,Grandola ed Uniti comune.1
,
Grandola ed Uniti – VedutaGrona,Grandola ed Uniti – VedutaGrona
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Angelo Adamo (lista civica Uniti per grandola) dal 3-10-2021
Territorio,Territorio
Coordinate,46°03′03.08″N 9°11′43.96″E
Altitudine,443 m s.l.m.
Superficie,"16,9 km²"
Abitanti,1 285[1] (30-11-2025)
Densità,"76,04 ab./km²"
Frazioni,"Cardano, Codogna (sede comunale), Gonte, Grona, Naggio, Velzo"
Comuni confinanti,"Bene Lario, Carlazzo, Cusino, Garzeno, Menaggio, Plesio, Tremezzina"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013111
Cod. catastale,E141
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 699 GG[3]"
Nome abitanti,grandolesi
Patrono,san Siro
Cartografia,Cartografia
Grandola ed Uniti,Grandola ed Uniti
Grandola ed Uniti – MappaPosizione del comune di Grandola ed Uniti nella provincia di Como,Grandola ed Uniti – MappaPosizione del comune di Grandola ed Uniti nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
