Carugo comune,Carugo comune.1
,
Carugo – Veduta,Carugo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,"Paolo Molteni (lista civica di centro-destra ""Carugo Insieme"") dal 9-6-2024"
Territorio,Territorio
Coordinate,45°43′N 9°12′E
Altitudine,270 m s.l.m.
Superficie,"4,19 km²"
Abitanti,6 660[1] (30-11-2025)
Densità,"1 589,5 ab./km²"
Frazioni,"Cascina Incasate, San Isidoro"
Comuni confinanti,"Arosio, Brenna, Giussano (MB), Inverigo, Mariano Comense"
Altre informazioni,Altre informazioni
Cod. postale,22060
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013048
Cod. catastale,B851
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 453 GG[3]"
Nome abitanti,carughesi
Patrono,san Bartolomeo
Cartografia,Cartografia
Carugo,Carugo
Carugo – MappaPosizione del comune di Carugo nella provincia di Como,Carugo – MappaPosizione del comune di Carugo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
