Blessagno comune,Blessagno comune.1
,
Blessagno – VedutaVeduta su Blessagno e Castiglione d'Intelvi dal Pizzo della Croce,Blessagno – VedutaVeduta su Blessagno e Castiglione d'Intelvi dal Pizzo della Croce
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Piero Righetti (lista civica Civica Blexum) dal 12-06-2017 (2º mandato dal 13-06-2022)
Territorio,Territorio
Coordinate,45°58′00.5″N 9°06′12.12″E
Altitudine,762 m s.l.m.
Superficie,"3,56 km²"
Abitanti,314[1] (30-11-2025)
Densità,"88,2 ab./km²"
Frazioni,Lura
Comuni confinanti,"Dizzasco, Laino, Pigra, Centro Valle Intelvi"
Altre informazioni,Altre informazioni
Cod. postale,22028
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013025
Cod. catastale,A904
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 152 GG[3]"
Nome abitanti,blessagnesi
Cartografia,Cartografia
Blessagno,Blessagno
Blessagno – MappaPosizione del comune di Blessagno nella provincia di Como,Blessagno – MappaPosizione del comune di Blessagno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
