Cerano d'Intelvi comune,Cerano d'Intelvi comune.1
,
Cerano d'Intelvi – Veduta,Cerano d'Intelvi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Graziano Gobbi (lista civica Insieme per un futuro concreto) dal 14-9-2025
Territorio,Territorio
Coordinate,45°57′N 9°05′E
Altitudine,562 m s.l.m.
Superficie,"5,55 km²"
Abitanti,593[1] (30-11-2025)
Densità,"106,85 ab./km²"
Frazioni,"Giuslino, Cerano, Veglio"
Comuni confinanti,"Breggia (CH-TI), Centro Valle Intelvi, Dizzasco, Schignano"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013063
Cod. catastale,C482
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 964 GG[3]"
Nome abitanti,ceranesi
Patrono,san Tommaso apostolo
Giorno festivo,3 luglio
Cartografia,Cartografia
Cerano d'Intelvi,Cerano d'Intelvi
Cerano d'Intelvi – MappaPosizione del comune di Cerano d'Intelvi nella provincia di Como,Cerano d'Intelvi – MappaPosizione del comune di Cerano d'Intelvi nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
