Montorfano comune,Montorfano comune.1
,
Montorfano – VedutaScorcio dalla Cappella di San Bartolomeo,Montorfano – VedutaScorcio dalla Cappella di San Bartolomeo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giuliano Capuano (lista civica Amare Montorfano) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,45°47′07.65″N 9°08′45.88″E
Altitudine,414 (min 360-max 554) m s.l.m.
Superficie,"3,52 km²"
Abitanti,2 495[1] (30-11-2025)
Densità,"708,81 ab./km²"
Frazioni,"Parravicina, Urago"
Comuni confinanti,"Albese con Cassano, Alzate Brianza, Capiago Intimiano, Lipomo, Orsenigo, Tavernerio"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013157
Cod. catastale,F688
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 657 GG[3]"
Nome abitanti,montorfanesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Montorfano,Montorfano
Montorfano – MappaPosizione del comune di Montorfano nella provincia di Como,Montorfano – MappaPosizione del comune di Montorfano nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
