Bene Lario comune,Bene Lario comune.1
,
Bene Lario – Veduta,Bene Lario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giacomo Sala (lista civica Uniti per Bene Lario) dal 9-6-2024
Territorio,Territorio
Coordinate,46°02′N 9°11′E
Altitudine,377 m s.l.m.
Superficie,"5,59 km²"
Abitanti,349[1] (30-11-2025)
Densità,"62,43 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Carlazzo, Grandola ed Uniti, Porlezza, Tremezzina"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013021
Cod. catastale,A778
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 605 GG[3]"
Nome abitanti,benelariensi
Cartografia,Cartografia
Bene Lario,Bene Lario
Bene Lario – MappaPosizione del comune di Bene Lario nella provincia di Como,Bene Lario – MappaPosizione del comune di Bene Lario nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
