Cirimido comune,Cirimido comune.1
,
Cirimido – VedutaBiblioteca comunale,Cirimido – VedutaBiblioteca comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Mario Antonio Galli (lista civica Insieme per Cirimido) dal 26-5-2025
Territorio,Territorio
Coordinate,45°42′N 9°01′E
Altitudine,290 m s.l.m.
Superficie,"2,63 km²"
Abitanti,2 193[1] (30-11-2025)
Densità,"833,84 ab./km²"
Comuni confinanti,"Fenegrò, Guanzate, Lomazzo, Turate"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013068
Cod. catastale,C724
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 481 GG[3]"
Nome abitanti,cirimidesi
Patrono,santa Cristina
Cartografia,Cartografia
Cirimido,Cirimido
Cirimido – MappaPosizione del comune di Cirimido nella provincia di Como,Cirimido – MappaPosizione del comune di Cirimido nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
