Argegno comune,Argegno comune.1
,
Argegno – VedutaVista da Castello sul centro,Argegno – VedutaVista da Castello sul centro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Francesco Dotti (lista civica Il ponte) dal 9-6-2024
Territorio,Territorio
Coordinate,45°56′36″N 9°07′42″E
Altitudine,210 m s.l.m.
Superficie,"4,11 km²"
Abitanti,674[1] (30-11-2025)
Densità,"163,99 ab./km²"
Frazioni,"Sant'Anna, Macchero"
Comuni confinanti,"Brienno, Colonno, Dizzasco, Lezzeno, Nesso, Pigra, Schignano"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013011
Cod. catastale,A391
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 368 GG[3]"
Nome abitanti,argegnini
Patrono,Santissima Trinità
Giorno festivo,prima domenica dopo la Pentecoste
Cartografia,Cartografia
Argegno,Argegno
Argegno – MappaLocalizzazione del comune di Argegno nella provincia di Como,Argegno – MappaLocalizzazione del comune di Argegno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
