Blevio comune,Blevio comune.1
,
Blevio – VedutaVista su Blevio dal sentiero Capovico-Brunate,Blevio – VedutaVista su Blevio dal sentiero Capovico-Brunate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Alberto Trabucchi (lista civica Per Blevio) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°50′N 9°06′E
Altitudine,231 m s.l.m.
Superficie,"5,47 km²"
Abitanti,1 004[1] (30-11-2025)
Densità,"183,55 ab./km²"
Comuni confinanti,"Brunate, Cernobbio, Como, Moltrasio, Torno"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013026
Cod. catastale,A905
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 271 GG[3]"
Nome abitanti,bleviani
Patrono,santi Gordiano ed Epimaco
Giorno festivo,10 maggio
Cartografia,Cartografia
Blevio,Blevio
Blevio – MappaPosizione del comune di Blevio nella provincia di Como,Blevio – MappaPosizione del comune di Blevio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
