Lambrugo comune,Lambrugo comune.1
,
Lambrugo – VedutaInterno della chiesa parrocchiale di Lambrugo,Lambrugo – VedutaInterno della chiesa parrocchiale di Lambrugo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Flavio Mauri (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,45°45′40.1″N 9°14′44.73″E
Altitudine,290 m s.l.m.
Superficie,"1,84 km²"
Abitanti,2 541[1] (30-11-2025)
Densità,"1 380,98 ab./km²"
Comuni confinanti,"Costa Masnaga (LC), Inverigo, Lurago d'Erba, Merone, Nibionno (LC)"
Altre informazioni,Altre informazioni
Cod. postale,22045
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013121
Cod. catastale,E428
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 467 GG[3]"
Nome abitanti,lambrughesi
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Lambrugo,Lambrugo
Lambrugo – MappaPosizione del comune di Lambrugo nella provincia di Como,Lambrugo – MappaPosizione del comune di Lambrugo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
