Zelbio comune,Zelbio comune.1
,
Zelbio – Veduta,Zelbio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Matteo Vanetti (lista civica Uniti per Zelbio) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°54′N 9°11′E
Altitudine,802 m s.l.m.
Superficie,"4,6 km²"
Abitanti,181[1] (30-11-2025)
Densità,"39,35 ab./km²"
Comuni confinanti,"Bellagio, Lezzeno, Nesso, Sormano, Veleso"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013246
Cod. catastale,M156
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 208 GG[3]"
Nome abitanti,zelbiesi
Cartografia,Cartografia
Zelbio,Zelbio
Zelbio – MappaPosizione del comune di Zelbio nella provincia di Como,Zelbio – MappaPosizione del comune di Zelbio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
