Beregazzo con Figliaro comune,Beregazzo con Figliaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Luigi Abati (lista civica Progetto futuro) dal 07-05-2012 (3º mandato dal 13-06-2022)
Territorio,Territorio
Coordinate,45°46′55″N 8°56′36″E
Altitudine,423 m s.l.m.
Superficie,"3,8 km²"
Abitanti,2 831[1] (30-11-2025)
Densità,745 ab./km²
Frazioni,"Figliaro, Beregazzo"
Comuni confinanti,"Appiano Gentile, Binago, Castelnuovo Bozzente, Olgiate Comasco, Oltrona di San Mamette, Solbiate con Cagno"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013022
Cod. catastale,A791
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 730 GG[3]"
Nome abitanti,"figliaresi, beregazzesi"
Patrono,Ilario e Remigio per Figliaro e Pietro e Paolo per Beregazzo
Cartografia,Cartografia
Beregazzo con Figliaro,Beregazzo con Figliaro
Beregazzo con Figliaro – MappaPosizione del comune di Beregazzo con Figliaro nella provincia di Como,Beregazzo con Figliaro – MappaPosizione del comune di Beregazzo con Figliaro nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
