Alzate Brianza comune,Alzate Brianza comune.1
,
Alzate Brianza – Veduta,Alzate Brianza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Paolo Frigerio (lista civica Progettare Alzate) dal 10-6-2024
Territorio,Territorio
Coordinate,45°46′N 9°11′E
Altitudine,371 m s.l.m.
Superficie,"7,58 km²"
Abitanti,4 840[1] (30-11-2025)
Densità,"638,52 ab./km²"
Frazioni,"Fabbrica Durini, Mirovano[2]"
Comuni confinanti,"Anzano del Parco, Brenna, Cantù, Inverigo, Lurago d'Erba, Orsenigo"
Altre informazioni,Altre informazioni
Cod. postale,22040
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013007
Cod. catastale,A249
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 596 GG[4]"
Nome abitanti,alzatesi
Patrono,Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Alzate Brianza,Alzate Brianza
Alzate Brianza – MappaLocalizzazione del comune di Alzate Brianza nel territorio della provincia di Como,Alzate Brianza – MappaLocalizzazione del comune di Alzate Brianza nel territorio della provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
