Tavernerio comune,Tavernerio comune.1
,
Tavernerio – VedutaCentro storico di Tavernerio,Tavernerio – VedutaCentro storico di Tavernerio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Mirko Paulon (lista civica Progetto in comune) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°48′N 9°09′E
Altitudine,460 m s.l.m.
Superficie,"11,91 km²"
Abitanti,5 576[1] (30-11-2025)
Densità,"468,18 ab./km²"
Frazioni,"Ponzate, Rovascio, Solzago, Urago"
Comuni confinanti,"Albese con Cassano, Como, Faggeto Lario, Lipomo, Montorfano, Torno"
Altre informazioni,Altre informazioni
Cod. postale,22038
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013222
Cod. catastale,L071
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 723 GG[3]"
Nome abitanti,taverneriesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Tavernerio,Tavernerio
Tavernerio – MappaPosizione del comune di Tavernerio nella provincia di Como,Tavernerio – MappaPosizione del comune di Tavernerio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
