Gera Lario comune,Gera Lario comune.1
,
Gera Lario – Veduta,Gera Lario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Oscar Mella (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,46°10′N 9°22′E
Altitudine,201 m s.l.m.
Superficie,"7,18 km²"
Abitanti,1 063[1] (30-11-2025)
Densità,"148,05 ab./km²"
Frazioni,"Sant'Agata, Trivio Fuentes, Ponte del Passo, Cinque case[2]"
Comuni confinanti,"Colico (LC), Dubino (SO), Montemezzo, Piantedo (SO), Sorico, Trezzone, Vercana"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013107
Cod. catastale,D974
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 355 GG[4]"
Nome abitanti,geresi
Patrono,santi Vincenzo e Gaudenzio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Gera Lario,Gera Lario
Gera Lario – MappaPosizione del comune di Gera Lario nella provincia di Como,Gera Lario – MappaPosizione del comune di Gera Lario nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
