Pusiano comune,Pusiano comune.1
,
Pusiano – VedutaLago di Pusiano e Isola dei Cipressi,Pusiano – VedutaLago di Pusiano e Isola dei Cipressi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Fabio Galli (lista civica Pusiano per tutti) dal 3-10-2021
Territorio,Territorio
Coordinate,45°49′N 9°17′E
Altitudine,264 m s.l.m.
Superficie,"3,2 km²"
Abitanti,1 301[1] (30-11-2025)
Densità,"406,56 ab./km²"
Comuni confinanti,"Canzo, Cesana Brianza (LC), Eupilio"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013193
Cod. catastale,H094
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 444 GG[3]"
Nome abitanti,pusianesi
Cartografia,Cartografia
Pusiano,Pusiano
Pusiano – MappaPosizione del comune di Pusiano nella provincia di Como,Pusiano – MappaPosizione del comune di Pusiano nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
