Valsolda comune,Valsolda comune.1
,
Valsolda – VedutaLa frazione di San Mamete,Valsolda – VedutaLa frazione di San Mamete
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Laura Romanò (lista civica La nuova Valsolda Voltiamo pagina) dal 21-9-2020
Territorio,Territorio
Coordinate,46°02′N 9°03′E
Altitudine,275 m s.l.m.
Superficie,"31,74 km²"
Abitanti,1 435[1] (30-11-2025)
Densità,"45,21 ab./km²"
Frazioni,"Albogasio Inferiore, Albogasio Superiore, Castello, Cressogno, Dasio, Drano, Loggio, Oria, Puria, San Mamete (sede comunale), Santa Margherita"
Comuni confinanti,"Alta Valle Intelvi, Claino con Osteno, Lugano (CH-TI), Porlezza, Val Rezzo"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013234
Cod. catastale,C936
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 460 GG[3]"
Nome abitanti,valsoldesi
Cartografia,Cartografia
Valsolda,Valsolda
Valsolda – MappaLocalizzazione del comune di Valsolda nella provincia di Como,Valsolda – MappaLocalizzazione del comune di Valsolda nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
