Dosso del Liro comune,Dosso del Liro comune.1
,
Dosso del Liro – Veduta,Dosso del Liro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Egidio Baraglia (lista civica Insieme per Dosso del Liro) dal 14-5-2023
Territorio,Territorio
Coordinate,46°10′N 9°16′E
Altitudine,650 m s.l.m.
Superficie,"23,49 km²"
Abitanti,236[1] (30-11-2025)
Densità,"10,05 ab./km²"
Comuni confinanti,"Cama (CH-GR), Gravedona ed Uniti, Grono (CH-GR), Livo, Peglio, Roveredo (CH-GR)"
Altre informazioni,Altre informazioni
Cod. postale,22015
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013092
Cod. catastale,D355
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 993 GG[3]"
Nome abitanti,dossoliresi
Cartografia,Cartografia
Dosso del Liro,Dosso del Liro
Dosso del Liro – MappaPosizione del comune di Dosso del Liro nella provincia di Como,Dosso del Liro – MappaPosizione del comune di Dosso del Liro nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
