Senna Comasco comune,Senna Comasco comune.1
,
Senna Comasco – VedutaVista sulla frazione Navedano da Brunate,Senna Comasco – VedutaVista sulla frazione Navedano da Brunate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Francesca Curtale (lista civica Per Senna Comasco) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°45′39.9″N 9°06′03.55″E
Altitudine,296 m s.l.m.
Superficie,"2,79 km²"
Abitanti,3 177[1] (30-11-2025)
Densità,"1 138,71 ab./km²"
Frazioni,"Navedano, Bassone"
Comuni confinanti,"Cantù, Capiago Intimiano, Casnate con Bernate, Como, Cucciago"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013212
Cod. catastale,I611
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 490 GG[3]"
Nome abitanti,sennesi
Cartografia,Cartografia
Senna Comasco,Senna Comasco
Senna Comasco – MappaLocalizzazione del comune di Senna Comasco nella provincia di Como,Senna Comasco – MappaLocalizzazione del comune di Senna Comasco nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
