Locate Varesino comune,Locate Varesino comune.1
,
Locate Varesino – VedutaFoto d'epoca delle campagne di Locate Varesino,Locate Varesino – VedutaFoto d'epoca delle campagne di Locate Varesino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Luca Castiglioni (lista civica Insieme per Locate) dal 7-6-2019 (2º mandato dal 9-06-2024)
Territorio,Territorio
Coordinate,45°41′26″N 8°55′51″E
Altitudine,274 m s.l.m.
Superficie,"6,04 km²"
Abitanti,4 302[1] (30-11-2025)
Densità,"712,25 ab./km²"
Comuni confinanti,"Cairate (VA), Carbonate, Fagnano Olona (VA), Gorla Maggiore (VA), Tradate (VA)"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,013131
Cod. catastale,E638
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 519 GG[3]"
Nome abitanti,locatesi
Patrono,santi Quirico e Giulitta
Cartografia,Cartografia
Locate Varesino,Locate Varesino
Locate Varesino – MappaPosizione del comune di Locate Varesino nella provincia di Como,Locate Varesino – MappaPosizione del comune di Locate Varesino nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
