Ponte Lambro comune,Ponte Lambro comune.1
,
Ponte Lambro – Veduta,Ponte Lambro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Ettore Antonio Pelucchi (lista civica Insieme per Ponte Lambro) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°49′43.43″N 9°13′15.54″E
Altitudine,365 m s.l.m.
Superficie,"3,38 km²"
Abitanti,4 267[1] (30-11-2025)
Densità,"1 262,43 ab./km²"
Frazioni,"Busnigallo, Fucina, Lezza, Mazzonio, Schieppo"
Comuni confinanti,"Caslino d'Erba, Castelmarte, Erba"
Altre informazioni,Altre informazioni
Cod. postale,22037
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013188
Cod. catastale,G847
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 503 GG[3]"
Nome abitanti,pontelambresi
Patrono,Santa Maria Annunciata
Cartografia,Cartografia
Ponte Lambro,Ponte Lambro
Ponte Lambro – MappaPosizione del comune di Ponte Lambro nella provincia di Como,Ponte Lambro – MappaPosizione del comune di Ponte Lambro nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
