Canzo comune,Canzo comune.1
,
Canzo – Veduta,Canzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Giulio Nava (lista civica Giulio Nava sindaco) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°51′N 9°16′E
Altitudine,402 m s.l.m.
Superficie,"11,11 km²"
Abitanti,5 243[1] (30-11-2025)
Densità,"471,92 ab./km²"
Comuni confinanti,"Asso, Caslino d'Erba, Castelmarte, Cesana Brianza (LC), Civate (LC), Eupilio, Longone al Segrino, Proserpio, Pusiano, Valbrona, Valmadrera (LC)"
Altre informazioni,Altre informazioni
Cod. postale,22035
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013042
Cod. catastale,B641
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 801 GG[3]"
Nome abitanti,canzesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Canzo,Canzo
Canzo – MappaPosizione del comune di Canzo nella provincia di Como,Canzo – MappaPosizione del comune di Canzo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
