Menaggio comune,Menaggio comune.1
,
Menaggio – Veduta,Menaggio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Michele Spaggiari (lista civica Ascolto e impegno) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°01′N 9°14′E
Altitudine,211 m s.l.m.
Superficie,"11,77 km²"
Abitanti,2 956[1] (30-11-2025)
Densità,"251,15 ab./km²"
Frazioni,"Castello, Croce, Fossato, Loveno, Nobiallo, Sonenga"
Comuni confinanti,"Grandola ed Uniti, Griante, Perledo (LC), Plesio, San Siro, Tremezzina, Varenna (LC)"
Altre informazioni,Altre informazioni
Cod. postale,22017
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013145
Cod. catastale,F120
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 222 GG[3]"
Nome abitanti,menaggini
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Menaggio,Menaggio
Menaggio – MappaPosizione del comune di Menaggio nella provincia di Como,Menaggio – MappaPosizione del comune di Menaggio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
