Caslino d'Erba comune,Caslino d'Erba comune.1
,
Caslino d'Erba – Veduta,Caslino d'Erba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Marco Colombo (lista civica Essere Caslino) dal 9-6-2024
Territorio,Territorio
Coordinate,45°50′49.13″N 9°13′27.91″E
Altitudine,461 m s.l.m.
Superficie,"6,89 km²"
Abitanti,1 681[1] (30-11-2025)
Densità,"243,98 ab./km²"
Comuni confinanti,"Asso, Caglio, Canzo, Castelmarte, Erba, Faggeto Lario, Ponte Lambro, Rezzago"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013052
Cod. catastale,B974
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 837 GG[3]"
Nome abitanti,caslinesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Caslino d'Erba,Caslino d'Erba
Caslino d'Erba – MappaPosizione del comune di Caslino d'Erba nella provincia di Como,Caslino d'Erba – MappaPosizione del comune di Caslino d'Erba nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
