Lasnigo comune,Lasnigo comune.1
,
Lasnigo – Veduta,Lasnigo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Patrizia Mazza (lista civica) dal 29-5-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°53′N 9°16′E
Altitudine,570 e 565 m s.l.m.
Superficie,"5,53 km²"
Abitanti,448[1] (30-11-2025)
Densità,"81,01 ab./km²"
Comuni confinanti,"Asso, Barni, Oliveto Lario (LC), Sormano, Valbrona"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013123
Cod. catastale,E462
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 879 GG[3]"
Nome abitanti,lasnighesi
Cartografia,Cartografia
Lasnigo,Lasnigo
Lasnigo – MappaPosizione del comune di Lasnigo nella provincia di Como,Lasnigo – MappaPosizione del comune di Lasnigo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
