Garzeno comune,Garzeno comune.1
,
Garzeno – Veduta,Garzeno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Eros Robba (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°08′N 9°15′E
Altitudine,662 m s.l.m.
Superficie,"28,76 km²"
Abitanti,661[1] (30-11-2025)
Densità,"22,98 ab./km²"
Comuni confinanti,"Cremia, Cusino, Dongo, Grandola ed Uniti, Gravedona ed Uniti, Pianello del Lario, Plesio, San Bartolomeo Val Cavargna, San Nazzaro Val Cavargna"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013106
Cod. catastale,D930
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 010 GG[3]"
Nome abitanti,garzenatti
Cartografia,Cartografia
Garzeno,Garzeno
Garzeno – MappaPosizione del comune di Garzeno nella provincia di Como,Garzeno – MappaPosizione del comune di Garzeno nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
