Figino Serenza comune,Figino Serenza comune.1
,
Figino Serenza – VedutaLa Chiesa di San Michele,Figino Serenza – VedutaLa Chiesa di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Stefano Tomaselli (centro-sinistra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°43′N 9°08′E
Altitudine,329 m s.l.m.
Superficie,"4,96 km²"
Abitanti,4 965[1] (30-11-2025)
Densità,"1 001,01 ab./km²"
Frazioni,"Boffalora,Cascinetta, Castelletto, Moja, Rozzago, Sant'Agata, Bissèe, Pozzolo, Gheda"
Comuni confinanti,"Cantù, Carimate, Mariano Comense, Novedrate"
Altre informazioni,Altre informazioni
Cod. postale,22060
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013101
Cod. catastale,D579
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 537 GG[3]"
Nome abitanti,figinesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Figino Serenza,Figino Serenza
Figino Serenza – MappaPosizione del comune di Figino Serenza nella provincia di Como,Figino Serenza – MappaPosizione del comune di Figino Serenza nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
