Sala Comacina comune,Sala Comacina comune.1
,
Sala Comacina – VedutaIl paese visto dall'isola Comacina,Sala Comacina – VedutaIl paese visto dall'isola Comacina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Roberto Greppi (lista civica Insieme per Sala) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°58′N 9°10′E
Altitudine,213 m s.l.m.
Superficie,"4,73 km²"
Abitanti,464[1] (30-11-2025)
Densità,"98,1 ab./km²"
Comuni confinanti,"Colonno, Lezzeno, Tremezzina, Ponna"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013203
Cod. catastale,H679
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 372 GG[3]"
Nome abitanti,salesi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Sala Comacina,Sala Comacina
Sala Comacina – MappaPosizione del comune di Sala Comacina nella provincia di Como,Sala Comacina – MappaPosizione del comune di Sala Comacina nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
