Veleso comune,Veleso comune.1
,
Veleso – Veduta,Veleso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Livia Cioffi (lista civica Vèles) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°54′57.77″N 9°11′15.86″E
Altitudine,826 m s.l.m.
Superficie,"5,86 km²"
Abitanti,199[1] (30-11-2025)
Densità,"33,96 ab./km²"
Frazioni,"Erno, Gorla"
Comuni confinanti,"Bellagio, Lezzeno, Nesso, Zelbio"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013236
Cod. catastale,L715
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 243 GG[3]"
Nome abitanti,velesini
Patrono,sant'Antonio Abate
Cartografia,Cartografia
Veleso,Veleso
Veleso – MappaPosizione del comune di Veleso nella provincia di Como,Veleso – MappaPosizione del comune di Veleso nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
