Arosio comune,Arosio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Alessandra Pozzoli (lista civica Vivere Arosio) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°43′N 9°13′E
Altitudine,300 m s.l.m.
Superficie,"2,58 km²"
Abitanti,5 217[1] (30-11-2025)
Densità,"2 022,09 ab./km²"
Comuni confinanti,"Carugo, Giussano (MB), Inverigo"
Altre informazioni,Altre informazioni
Cod. postale,22060
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013012
Cod. catastale,A430
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 484 GG[3]"
Nome abitanti,arosiani
Patrono,santi Nazario e Celso
Giorno festivo,29 luglio
Cartografia,Cartografia
Arosio,Arosio
Arosio – MappaPosizione del comune di Arosio nella provincia di Como,Arosio – MappaPosizione del comune di Arosio nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
