Laino comune,Laino comune.1
,
Laino – VedutaVista sulla chiesa di San Lorenzo,Laino – VedutaVista sulla chiesa di San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Cipriano Soldati (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°58′58.82″N 9°06′07.97″E
Altitudine,700 m s.l.m.
Superficie,"6,68 km²"
Abitanti,566[1] (30-11-2025)
Densità,"84,73 ab./km²"
Comuni confinanti,"Blessagno, Claino con Osteno, Colonno, Pigra, Ponna, San Fedele Intelvi"
Altre informazioni,Altre informazioni
Cod. postale,22020
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013120
Cod. catastale,E416
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 022 GG[3]"
Nome abitanti,lainesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Laino,Laino
Laino – MappaLocalizzazione del comune di Laino nella provincia di Como,Laino – MappaLocalizzazione del comune di Laino nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
