Orsenigo comune,Orsenigo comune.1
,
Orsenigo – Veduta,Orsenigo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Maddalena Pinti (lista civica Insieme per Orsenigo) dal 12-6-2022
Territorio,Territorio
Coordinate,45°47′N 9°11′E
Altitudine,329 m s.l.m.
Superficie,"4,46 km²"
Abitanti,2 639[1] (30-11-2025)
Densità,"591,7 ab./km²"
Comuni confinanti,"Albavilla, Albese con Cassano, Alserio, Alzate Brianza, Anzano del Parco, Cantù, Capiago Intimiano, Montorfano"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013170
Cod. catastale,G126
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,orsenighesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
PIL procapite,(nominale) 22.910€
Cartografia,Cartografia
Orsenigo,Orsenigo
Orsenigo – MappaPosizione del comune di Orsenigo nella provincia di Como,Orsenigo – MappaPosizione del comune di Orsenigo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
