Pianello del Lario comune,Pianello del Lario comune.1
,
Pianello del Lario – Veduta,Pianello del Lario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Dino Giucastro (lista civica Voi con noi per Pianello) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,46°06′10.44″N 9°16′35.4″E
Altitudine,200 m s.l.m.
Superficie,"9,8 km²"
Abitanti,1 078[1] (30-11-2025)
Densità,110 ab./km²
Frazioni,"Bellera, Belmonte, Calozzo, Camlago, Coslia, Crotti, Garuso, Maggiana, Mianico, Nasina, Riva, Saliana, Sant'Anna, Tre Terre."
Comuni confinanti,"Colico (LC), Cremia, Dervio (LC), Dongo, Dorio (LC), Garzeno, Musso"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013183
Cod. catastale,G556
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 236 GG[3]"
Nome abitanti,pianellesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Pianello del Lario,Pianello del Lario
Pianello del Lario – MappaPosizione del comune di Pianello del Lario nella provincia di Como,Pianello del Lario – MappaPosizione del comune di Pianello del Lario nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
