Cassina Rizzardi comune,Cassina Rizzardi comune.1
,
Cassina Rizzardi – Veduta,Cassina Rizzardi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Alessandro Bellù (lista civica Insieme per Cassina Rizzardi) dal 9-6-2024
Territorio,Territorio
Coordinate,45°45′N 9°02′E
Altitudine,317 m s.l.m.
Superficie,"3,51 km²"
Abitanti,3 269[1] (30-11-2025)
Densità,"931,34 ab./km²"
Frazioni,"Boffalora, Monticello, Ronco Vecchio, Villette-Gervasio Ovest."
Comuni confinanti,"Bulgarograsso, Fino Mornasco, Guanzate, Luisago, Villa Guardia"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013055
Cod. catastale,C020
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 580 GG[3]"
Nome abitanti,cassinesi
Patrono,san Giuseppe
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Cassina Rizzardi,Cassina Rizzardi
Cassina Rizzardi – MappaPosizione del comune di Cassina Rizzardi nella provincia di Como,Cassina Rizzardi – MappaPosizione del comune di Cassina Rizzardi nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
