Porlezza comune,Porlezza comune.1
,
Porlezza – Veduta,Porlezza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Sergio Erculiani (lista civica Passione comune) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,46°02′N 9°08′E
Altitudine,275 m s.l.m.
Superficie,"18,64 km²"
Abitanti,4 904[1] (30-11-2025)
Densità,"263,09 ab./km²"
Frazioni,"Agria, Begna, Cima, Tavordo"
Comuni confinanti,"Bene Lario, Carlazzo, Claino con Osteno, Corrido, Ponna, Tremezzina, Val Rezzo, Valsolda"
Altre informazioni,Altre informazioni
Cod. postale,22018
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013189
Cod. catastale,G889
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 460 GG[3]"
Nome abitanti,porlezzini o porlezzesi
Patrono,san Vittore
Cartografia,Cartografia
Porlezza,Porlezza
Porlezza – MappaLocalizzazione del comune di Porlezza nella provincia di Como,Porlezza – MappaLocalizzazione del comune di Porlezza nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
