Lipomo comune,Lipomo comune.1
,
Lipomo – VedutaVista su Lipomo dal Castel Baradello,Lipomo – VedutaVista su Lipomo dal Castel Baradello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Alessio Cantaluppi (lista civica di centro-sinistra L'Idea per Lipomo) dal 1-6-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,45°47′28.01″N 9°07′20.05″E
Altitudine,384 m s.l.m.
Superficie,"2,3 km²"
Abitanti,5 878[1] (30-11-2025)
Densità,"2 555,65 ab./km²"
Comuni confinanti,"Capiago Intimiano, Como, Montorfano, Tavernerio"
Altre informazioni,Altre informazioni
Cod. postale,22030
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013129
Cod. catastale,E607
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 615 GG[3]"
Nome abitanti,lipomesi
Patrono,santi Vito e Modesto
Giorno festivo,15 giugno
Cartografia,Cartografia
Lipomo,Lipomo
Lipomo – MappaPosizione del comune di Lipomo nella provincia di Como,Lipomo – MappaPosizione del comune di Lipomo nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
