Rovello Porro comune,Rovello Porro comune.1
,
Rovello Porro – VedutaChiesa dei Santi Pietro e Paolo,Rovello Porro – VedutaChiesa dei Santi Pietro e Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Marco Volontè (lista civica L'unione fa Rovello) dal 12-6-2022
Territorio,Territorio
Coordinate,45°39′N 9°02′E
Altitudine,240 m s.l.m.
Superficie,"5,53 km²"
Abitanti,6 379[1] (30-11-2025)
Densità,"1 153,53 ab./km²"
Comuni confinanti,"Cogliate (MB), Gerenzano (VA), Lomazzo, Misinto (MB), Rovellasca, Saronno (VA), Turate"
Altre informazioni,Altre informazioni
Cod. postale,22070
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,013202
Cod. catastale,H602
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,rovellesi
Patrono,Santi Pietro e Paolo  Beata Vergine del Carmine
Cartografia,Cartografia
Rovello Porro,Rovello Porro
Rovello Porro – MappaPosizione del comune di Rovello Porro nella provincia di Como,Rovello Porro – MappaPosizione del comune di Rovello Porro nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
