Carimate comune,Carimate comune.1
,
Carimate – VedutaIl castello,Carimate – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Roberto Allevi (lista civica di centro-sinistra Pro civitate) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°42′N 9°07′E
Altitudine,265 m s.l.m.
Superficie,"5,17 km²"
Abitanti,4 366[1] (30-11-2025)
Densità,"844,49 ab./km²"
Frazioni,"Cascina Valle, Stazione di Carimate, Montesolaro"
Comuni confinanti,"Cantù, Cermenate, Figino Serenza, Lentate sul Seveso (MB), Novedrate"
Altre informazioni,Altre informazioni
Cod. postale,22060
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013046
Cod. catastale,B778
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona A, −5 GG[3]"
Nome abitanti,carimatesi
Patrono,Beata Vergine Immacolata(patrona) e san Giorgio Martire (compatrono)
Giorno festivo,13 giugno
PIL procapite,(nominale) 4.50
Cartografia,Cartografia
Carimate,Carimate
Carimate – MappaPosizione del comune di Carimate nella provincia di Como,Carimate – MappaPosizione del comune di Carimate nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
