Centro Valle Intelvi comune,Centro Valle Intelvi comune.1
,
Centro Valle Intelvi – VedutaPanorama su Casasco d'Intelvi e San Fedele Intelvi,Centro Valle Intelvi – VedutaPanorama su Casasco d'Intelvi e San Fedele Intelvi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Capoluogo,San Fedele Intelvi
Sindaco,Mario Pozzi (lista civica) dal 10-6-2018[1] (2º mandato dal 14-5-2023)
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate del capoluogo,45°58′N 9°05′E
Altitudine,799 m s.l.m.
Superficie,"19,66 km²"
Abitanti,3 767[2] (30-11-2025)
Densità,"191,61 ab./km²"
Frazioni,"San Fedele Intelvi, Casasco d'Intelvi, Castiglione d'Intelvi"
Comuni confinanti,"Alta Valle Intelvi, Blessagno, Breggia (CH-TI), Castel San Pietro (CH-TI), Cerano d'Intelvi, Dizzasco, Laino, Schignano, Val Mara (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,22023
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,013254
Cod. catastale,M394
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cartografia,Cartografia
San Fedele Intelvi,San Fedele Intelvi
Centro Valle Intelvi – MappaPosizione del comune di Centro Valle Intelvi nella provincia di Como,Centro Valle Intelvi – MappaPosizione del comune di Centro Valle Intelvi nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
