Musso comune,Musso comune.1
,
Musso – Veduta,Musso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Como
Amministrazione,Amministrazione
Sindaco,Marco Pozzi (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°06′45″N 9°16′33″E
Altitudine,201 m s.l.m.
Superficie,"3,71 km²"
Abitanti,935[1] (30-11-2025)
Densità,"252,02 ab./km²"
Frazioni,"Bresciana, Campaccio, Croda, Genico, Terza, Campagnano"
Comuni confinanti,"Colico (LC), Dongo, Pianello del Lario"
Altre informazioni,Altre informazioni
Cod. postale,22010
Prefisso,0344
Fuso orario,UTC+1
Codice ISTAT,013160
Cod. catastale,F828
Targa,CO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 219 GG[3]"
Nome abitanti,mussesi o mussiani
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Musso,Musso
Musso – MappaPosizione del comune di Musso nella provincia di Como,Musso – MappaPosizione del comune di Musso nella provincia di Como
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
